tid,title,Header,concept1,concept2,Proposed _relation_c1,Proposed_objects_c1,Proposed_relation_c2,Proposed_objects_c2
t0010,Functions of the skin,Hormonal,"Steroidogenesis, testosterone synthesis and conversion to other androgenic steroids","Hair follicles, sebaceous glands",Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0010,Functions of the skin,Hormonal,Conversion of thyroxine (T4) to triiodothyronine (T3),Keratinocytes,Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0010,Functions of the skin,Hormonal,Conversion of 7-dehydrocholesterol to vitamin D,Keratinocytes,Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0010,Functions of the skin,Pheromonal,Importance unknown in humans,"Apocrine sweat glands, possibly sebaceous glands",Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0010,Functions of the skin,Pheromonal,"Psychosocial, grooming and sexual behaviour","Appearance, tactile quality of skin, hair, nails",Has function,clinical finding/symptoms/procedure,has anatomy involvement,anatomy
t0015,Causes and clinical features of common scaly rashes,"[""Distribution""]",Atopic eczema(XREF),Face and flexures,Has cause,symptoms/clinical findings/disease/organism,has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Atopic eczema(XREF),"Poorly defined erythema, scalingVesiclesLichenification if chronic",Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Atopic eczema(XREF),Shiny nailsInfra-orbital crease‘Dirty neck’ (grey–brown discoloration),Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Face and flexures,"Poorly defined erythema, scalingVesiclesLichenification if chronic",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,has clinical finding,clinical finding/symptoms/disease
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Face and flexures,Shiny nailsInfra-orbital crease‘Dirty neck’ (grey–brown discoloration),Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,has clinical finding,clinical finding/symptoms/disease
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]","Poorly defined erythema, scalingVesiclesLichenification if chronic",Shiny nailsInfra-orbital crease‘Dirty neck’ (grey–brown discoloration),has clinical finding,clinical finding/symptoms/disease,has clinical finding,clinical finding/symptoms/disease
t0015,Causes and clinical features of common scaly rashes,"[""Distribution""]",Psoriasis(XREF),Extensor surfacesLower back,Has cause,symptoms/clinical findings/disease/organism,has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Psoriasis(XREF),Well-definedErythematous plaquesSilvery scale,Has cause,symptoms/clinical findings/disease/organism,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Psoriasis(XREF),"Nail pitting, onycholysisScalp involvementAxillae and genital areas often affectedJoint involvementKöbner phenomenon (XREF)",Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Extensor surfacesLower back,Well-definedErythematous plaquesSilvery scale,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Extensor surfacesLower back,"Nail pitting, onycholysisScalp involvementAxillae and genital areas often affectedJoint involvementKöbner phenomenon (XREF)",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,has clinical finding,clinical finding/symptoms/disease
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Well-definedErythematous plaquesSilvery scale,"Nail pitting, onycholysisScalp involvementAxillae and genital areas often affectedJoint involvementKöbner phenomenon (XREF)",has clinical finding,clinical finding/symptoms/qualifier,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Distribution""]",Pityriasis rosea(XREF),Fir tree pattern on trunk,Has cause,symptoms/clinical findings/disease/organism,has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Pityriasis rosea(XREF),"Well-definedSmall, erythematous plaquesCollarette of scale",Has cause,symptoms/clinical findings/disease/organism,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Pityriasis rosea(XREF),Herald patch,Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Fir tree pattern on trunk,"Well-definedSmall, erythematous plaquesCollarette of scale",has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Fir tree pattern on trunk,Herald patch,has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]","Well-definedSmall, erythematous plaquesCollarette of scale",Herald patch,has clinical finding,clinical finding/symptoms/qualifier,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Distribution""]",Drug eruption(XREF),Widespread,Has cause,symptoms/clinical findings/disease/organism,has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Drug eruption(XREF),Macules and papulesErythema and scaleExfoliation,Has cause,symptoms/clinical findings/disease/organism,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Drug eruption(XREF),Possible mucosal involvement or erythroderma,Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Widespread,Macules and papulesErythema and scaleExfoliation,Has morphology,symptoms/clinical findings/qualifier,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Widespread,Possible mucosal involvement or erythroderma,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Macules and papulesErythema and scaleExfoliation,Possible mucosal involvement or erythroderma,Has morphology,symptoms/clinical findings/qualifier,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Distribution""]",Pityriasis versicolor(XREF),Upper trunk and shoulders,Has cause,symptoms/clinical findings/disease/organism,has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Pityriasis versicolor(XREF),Hypo- and hyper-pigmented scaly patches,Has cause,symptoms/clinical findings/disease/organism,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Pityriasis versicolor(XREF),,Has cause,symptoms/clinical findings/disease/organism,,
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Upper trunk and shoulders,Hypo- and hyper-pigmented scaly patches,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Upper trunk and shoulders,,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,,
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Hypo- and hyper-pigmented scaly patches,,has clinical finding,clinical finding/symptoms/qualifier,,
t0015,Causes and clinical features of common scaly rashes,"[""Distribution""]",Lichen planus(XREF),Distal limbsFlexural aspect of wristsLower back,Has cause,symptoms/clinical findings/disease/organism,has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Lichen planus(XREF),"Shiny, flat-topped, violaceous papulesWickham's striae",Has cause,symptoms/clinical findings/disease/organism,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Lichen planus(XREF),"White, lacy network on buccal mucosaNail changesScarring alopeciaKöbner phenomenon",Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Distal limbsFlexural aspect of wristsLower back,"Shiny, flat-topped, violaceous papulesWickham's striae",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Distal limbsFlexural aspect of wristsLower back,"White, lacy network on buccal mucosaNail changesScarring alopeciaKöbner phenomenon",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]","Shiny, flat-topped, violaceous papulesWickham's striae","White, lacy network on buccal mucosaNail changesScarring alopeciaKöbner phenomenon",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Distribution""]",Tinea corporis(XREF),AsymmetricalOften isolated lesions,Has cause,symptoms/clinical findings/disease/organism,has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Tinea corporis(XREF),"Erythematous, often annular plaquesPeripheral scale (sometimes pustules)Expansion with central clearing",Has cause,symptoms/clinical findings/disease/organism,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Tinea corporis(XREF),"Possible nail, scalp, groin involvement",Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",AsymmetricalOften isolated lesions,"Erythematous, often annular plaquesPeripheral scale (sometimes pustules)Expansion with central clearing",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",AsymmetricalOften isolated lesions,"Possible nail, scalp, groin involvement",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]","Erythematous, often annular plaquesPeripheral scale (sometimes pustules)Expansion with central clearing","Possible nail, scalp, groin involvement",Has morphology,symptoms/clinical findings/qualifier,Has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Distribution""]",Secondary syphilis(p. 337),Trunk and proximal limbsPalms and soles,Has cause,symptoms/clinical findings/disease/organism,Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Secondary syphilis(p. 337),"Red macules and papules, which become ‘gun-metal’ grey",Has cause,symptoms/clinical findings/disease/organism,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Secondary syphilis(p. 337),"History of chancreSystemic symptoms, e.g. malaise and fever",Has cause,symptoms/clinical findings/disease/organism,Has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Morphology""]",Trunk and proximal limbsPalms and soles,"Red macules and papules, which become ‘gun-metal’ grey",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has morphology,symptoms/clinical findings/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]",Trunk and proximal limbsPalms and soles,"History of chancreSystemic symptoms, e.g. malaise and fever",Has topological description/distribution,qualifiers/symptoms/clinical findings/anatomy,Has clinical finding,clinical finding/symptoms/qualifier
t0015,Causes and clinical features of common scaly rashes,"[""Associated signs""]","Red macules and papules, which become ‘gun-metal’ grey","History of chancreSystemic symptoms, e.g. malaise and fever",Has morphology,symptoms/clinical findings/qualifier,Has clinical finding,clinical finding/symptoms/qualifier
t0020,Causes of acquired blisters,"[""Localised""]",Vesicular,Herpes simplexHerpes zosterImpetigoPompholyx,Has morphology,symptoms/clinical findings/qualifier,Has clinical finding,clinical finding/symptoms/disease
t0020,Causes of acquired blisters,"[""Generalised""]",Vesicular,Eczema herpeticumXREFDermatitis herpetiformisAcute eczema,Has morphology,symptoms/clinical findings/qualifier,Has clinical finding,clinical finding/symptoms/disease
t0020,Causes of acquired blisters,"[""Generalised""]",Herpes simplexHerpes zosterImpetigoPompholyx,Eczema herpeticumXREFDermatitis herpetiformisAcute eczema,Has cause,clinical finding/symptoms/disease,Has clinical finding,clinical finding/symptoms/disease
t0020,Causes of acquired blisters,"[""Localised""]",Bullous,ImpetigoCellulitisStasis oedemaAcute eczemaInsect bitesFixed drug eruption,Has morphology,symptoms/clinical findings/qualifier,Has clinical finding,clinical finding/symptoms/disease
t0020,Causes of acquired blisters,"[""Generalised""]",Bullous,Toxic epidermal necrolysisXREFErythema multiformeStevens–Johnson syndromeXREFBullous pemphigoidPemphigusXREFEpidermolysis bullosa acquisitaLupus erythematosusPorphyria cutanea tardaPseudoporphyriaDrug eruptions,Has morphology,symptoms/clinical findings/qualifier,Has clinical finding,clinical finding/symptoms/disease
t0020,Causes of acquired blisters,"[""Generalised""]",ImpetigoCellulitisStasis oedemaAcute eczemaInsect bitesFixed drug eruption,Toxic epidermal necrolysisXREFErythema multiformeStevens–Johnson syndromeXREFBullous pemphigoidPemphigusXREFEpidermolysis bullosa acquisitaLupus erythematosusPorphyria cutanea tardaPseudoporphyriaDrug eruptions,Has cause,clinical finding/symptoms/disease,Has clinical finding,clinical finding/symptoms/disease
t0025,Primary skin diseases causing pruritus,Primary skin diseases causing pruritus,Generalised pruritus,•Scabies•Eczemas•Pre-bullous pemphigoid,Has cause,symptoms/clinical findings/disease/organism,Has cause,disease
t0025,Primary skin diseases causing pruritus,Primary skin diseases causing pruritus,Generalised pruritus,•Urticarias•Xeroderma of old age•Psoriasis,Has cause,symptoms/clinical findings/disease/organism,Has cause,disease
t0025,Primary skin diseases causing pruritus,Primary skin diseases causing pruritus,Localised pruritus,•Eczemas•Lichen planus•Dermatitis herpetiformis,Has cause,symptoms/clinical findings/disease/organism,Has cause,disease
t0025,Primary skin diseases causing pruritus,Primary skin diseases causing pruritus,Localised pruritus,•Pediculosis•Tinea infections,Has cause,symptoms/clinical findings/disease/organism,Has cause,disease
t0035,Causes of pruritus in pregnancy,"[""Pregnancy, gestation and features""]","Polymorphic eruption of pregnancy (pruritic urticarial papules and plaques, PUPP)","Typically first pregnancy and uncommonly recurs3rd trimester, after deliveryPolymorphic urticated papules and plaques, start in striae",Has cause,symptoms/clinical findings/disease/organism,Has time|clinical finding,qualifiers/symptoms/clinical findings|clinical finding/symptoms/disease
t0035,Causes of pruritus in pregnancy,"[""Treatment""]","Polymorphic eruption of pregnancy (pruritic urticarial papules and plaques, PUPP)","Chlorphenamine, emollientsTopical glucocorticoids",Has cause,symptoms/clinical findings/disease/organism,Has drug,drug/substance
t0035,Causes of pruritus in pregnancy,"[""Treatment""]","Typically first pregnancy and uncommonly recurs3rd trimester, after deliveryPolymorphic urticated papules and plaques, start in striae","Chlorphenamine, emollientsTopical glucocorticoids",Has time|clinical finding,qualifiers/symptoms/clinical findings|clinical finding/symptoms/disease,Has drug,drug/substance
t0035,Causes of pruritus in pregnancy,"[""Pregnancy, gestation and features""]",Acute cholestasis of pregnancy (p. 1284),3rd trimester and commonly recurs in subsequent pregnanciesAbnormal liver function testsIncreased fetal and maternal risk,Has cause,symptoms/clinical findings/disease/organism,Has time|clinical finding,qualifiers/symptoms/clinical findings|clinical finding/symptoms/disease
t0035,Causes of pruritus in pregnancy,"[""Treatment""]",Acute cholestasis of pregnancy (p. 1284),EmollientsChlorphenamineColestyramineUVBEarly delivery,Has cause,symptoms/clinical findings/disease/organism,Has drug,drug/substance
t0035,Causes of pruritus in pregnancy,"[""Treatment""]",3rd trimester and commonly recurs in subsequent pregnanciesAbnormal liver function testsIncreased fetal and maternal risk,EmollientsChlorphenamineColestyramineUVBEarly delivery,Has time|clinical finding,qualifiers/symptoms/clinical findings|clinical finding/symptoms/disease,Has drug,drug/substance
t0035,Causes of pruritus in pregnancy,"[""Pregnancy, gestation and features""]",Pemphigoid gestationis,"Any stage, often 2nd trimester and commonly recurs in subsequent pregnanciesUrticated erythema, blistering initially periumbilicalCharacteristic histology and immunofluorescence",Has cause,symptoms/clinical findings/disease/organism,Has time|clinical finding,qualifiers/symptoms/clinical findings|clinical finding/symptoms/disease
t0035,Causes of pruritus in pregnancy,"[""Treatment""]",Pemphigoid gestationis,Topical or oral glucocorticoids,Has cause,symptoms/clinical findings/disease/organism,Has drug,drug/substance
t0035,Causes of pruritus in pregnancy,"[""Treatment""]","Any stage, often 2nd trimester and commonly recurs in subsequent pregnanciesUrticated erythema, blistering initially periumbilicalCharacteristic histology and immunofluorescence",Topical or oral glucocorticoids,Has time|clinical finding,qualifiers/symptoms/clinical findings|clinical finding/symptoms/disease,Has drug,drug/substance
t0035,Causes of pruritus in pregnancy,"[""Pregnancy, gestation and features""]",Prurigo gestationis,2nd trimesterExcoriated papules,Has cause,symptoms/clinical findings/disease/organism,Has time|clinical finding,qualifiers/symptoms/clinical findings|clinical finding/symptoms/disease
t0035,Causes of pruritus in pregnancy,"[""Treatment""]",Prurigo gestationis,EmollientsTopical glucocorticoidsChlorphenamineUVB,Has cause,symptoms/clinical findings/disease/organism,Has drug,drug/substance
t0035,Causes of pruritus in pregnancy,"[""Treatment""]",2nd trimesterExcoriated papules,EmollientsTopical glucocorticoidsChlorphenamineUVB,Has time|clinical finding,qualifiers/symptoms/clinical findings|clinical finding/symptoms/disease,Has drug,drug/substance
t0035,Causes of pruritus in pregnancy,"[""Pregnancy, gestation and features""]",Pruritic folliculitis,3rd trimesterSterile pustules on trunk,Has cause,symptoms/clinical findings/disease/organism,Has time|clinical finding,qualifiers/symptoms/clinical findings|clinical finding/symptoms/disease
t0035,Causes of pruritus in pregnancy,"[""Treatment""]",Pruritic folliculitis,Topical glucocorticoidsUVB,Has cause,symptoms/clinical findings/disease/organism,Has drug,drug/substance
t0035,Causes of pruritus in pregnancy,"[""Treatment""]",3rd trimesterSterile pustules on trunk,Topical glucocorticoidsUVB,Has time|clinical finding,qualifiers/symptoms/clinical findings|clinical finding/symptoms/disease,Has drug,drug/substance
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Immunological (previously known as idiopathic),Polymorphic light eruption (PLE),Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Immunological (previously known as idiopathic),"Seasonal, itchy, papulovesicular rash on photo-exposed sites; face and back of hands often spared. Often hours of UVR exposure needed to provoke; lasts a few days; affects about 20% in Northern Europe, more common in young women",Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Polymorphic light eruption (PLE),"Seasonal, itchy, papulovesicular rash on photo-exposed sites; face and back of hands often spared. Often hours of UVR exposure needed to provoke; lasts a few days; affects about 20% in Northern Europe, more common in young women",Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Immunological (previously known as idiopathic),Chronic actinic dermatitis (CAD),Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Immunological (previously known as idiopathic),"Chronic dermatitis on sun-exposed sites. Most common in elderly males. Predominantly UVB, but also often UVA and visible light photosensitivity. Most also have contact allergies",Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Chronic actinic dermatitis (CAD),"Chronic dermatitis on sun-exposed sites. Most common in elderly males. Predominantly UVB, but also often UVA and visible light photosensitivity. Most also have contact allergies",Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Immunological (previously known as idiopathic),Solar urticaria,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Immunological (previously known as idiopathic),Immediate-onset urticaria on photo-exposed sites. Usually UVA and visible light photosensitivity. Can occur at any age,Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Solar urticaria,Immediate-onset urticaria on photo-exposed sites. Usually UVA and visible light photosensitivity. Can occur at any age,Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Immunological (previously known as idiopathic),Actinic prurigo,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Immunological (previously known as idiopathic),"Uncommon, presents in childhood. Often familial, with strong HLA association. Some similarities to PLE, although scarring occurs",Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Actinic prurigo,"Uncommon, presents in childhood. Often familial, with strong HLA association. Some similarities to PLE, although scarring occurs",Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Immunological (previously known as idiopathic),Hydroa vacciniforme,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Immunological (previously known as idiopathic),Rare childhood photodermatosis. Varioliform scarring,Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Hydroa vacciniforme,Rare childhood photodermatosis. Varioliform scarring,Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Drugs (variety of mechanisms),Phototoxicity,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Drugs (variety of mechanisms),Usually UVA (and visible light) photosensitivity,Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Phototoxicity,Usually UVA (and visible light) photosensitivity,Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Drugs (variety of mechanisms),,Has cause,symptoms/clinical findings/disease/organism,,
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Drugs (variety of mechanisms),"Most common. Exaggerated sunburn and exfoliation. Many drugs such as thiazides, tetracyclines, fluoroquinolones, quinine, NSAIDs",Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",,"Most common. Exaggerated sunburn and exfoliation. Many drugs such as thiazides, tetracyclines, fluoroquinolones, quinine, NSAIDs",Has cause,symptoms/clinical findings/disease/organism,has clinical finding,clinical finding/symptoms/disease
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Drugs (variety of mechanisms),Pseudoporphyria,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Drugs (variety of mechanisms),"NSAIDs, retinoids, tetracyclines, furosemide are examples",Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Pseudoporphyria,"NSAIDs, retinoids, tetracyclines, furosemide are examples",Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Drugs (variety of mechanisms),Photoallergy,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Drugs (variety of mechanisms),"Usually to topical agents, particularly sunscreens and NSAIDs",Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Photoallergy,"Usually to topical agents, particularly sunscreens and NSAIDs",Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Condition""]",Metabolic,PorphyriasPellagra,Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",Metabolic,"Mainly porphyria cutanea tarda and erythropoietic protoporphyria (p. 378). Photo-exposed site dermatitis due to tryptophan deficiency (see Fig. 14.15, p. 378)",Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
t0040,The photosensitivity and photo-aggravated diseases,"[""Clinical features""]",PorphyriasPellagra,"Mainly porphyria cutanea tarda and erythropoietic protoporphyria (p. 378). Photo-exposed site dermatitis due to tryptophan deficiency (see Fig. 14.15, p. 378)",Has cause,symptoms/clinical findings/disease/organism,Has cause,symptoms/clinical findings/disease/organism
